# Total Joint Tracking Metrics
global_rmse_rad: 0.00821707
global_mae_rad: 0.00564477
global_max_abs_rad: 0.02761600

joint,rmse_rad,mae_rad,max_abs_rad
0,0.00024073,0.00015618,0.00124337
1,0.00074693,0.00071294,0.00140590
2,0.00935075,0.00831225,0.01849080
3,0.01389268,0.01198887,0.02580900
4,0.01606671,0.01359427,0.02581800
5,0.00093004,0.00074946,0.00494590
6,0.00033447,0.00019922,0.00174095
7,0.00141896,0.00138682,0.00201990
8,0.00898977,0.00805779,0.01738790
9,0.01237921,0.01058951,0.02378500
10,0.01290895,0.01089313,0.02118100
11,0.00195021,0.00173005,0.00333030
12,0.00073586,0.00072974,0.00090805
13,0.00214278,0.00195815,0.00439950
14,0.00056062,0.00052284,0.00201618
15,0.00355529,0.00273591,0.00897400
16,0.00481070,0.00393245,0.01036200
17,0.00903249,0.00752835,0.01580000
18,0.00391241,0.00339840,0.01083000
19,0.00916204,0.00760957,0.02193000
20,0.00670041,0.00626186,0.01354000
21,0.00847268,0.00568364,0.02194100
22,0.01391216,0.01286667,0.02367700
23,0.00039215,0.00038856,0.00056364
24,0.00883640,0.00835575,0.01359050
25,0.00303511,0.00252405,0.00857712
26,0.00509927,0.00445206,0.01271500
27,0.00688701,0.00571801,0.01533000
28,0.00680289,0.00626306,0.01179000
29,0.00984457,0.00768817,0.02153000
30,0.00744333,0.00683645,0.01472000
31,0.00557877,0.00483136,0.01221600
32,0.01893614,0.01762174,0.02761600
